,Question,Equation,Combined,Answer
112,There were w roses and x orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now y orchids and z roses in the vase. How many orchids did she cut?,( y - x ),There were 16 roses and 3 orchids in the vase. Jessica cut some more roses and orchids from her flower garden. There are now 7 orchids and 13 roses in the vase. How many orchids did she cut?,4
113,"Jack received w emails in the morning, x emails in the afternoon and y emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?",( x - y ),"Jack received 10 emails in the morning, 5 emails in the afternoon and 4 emails in the evening. How many more emails did Jack receive in the afternoon than in the evening?",1
114,Faye was placing her pencils into rows with w pencils in each row. She had x packs of pencils each one having y pencils. How many pencils does she have?,( x * y ),Faye was placing her pencils into rows with 22 pencils in each row. She had 6 packs of pencils each one having 14 pencils. How many pencils does she have?,84
115,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many did he have left after yesterday's picking?,( w - x ),A farmer had 160 tomatoes in his garden. If he picked 56 of them yesterday and 41 today. How many did he have left after yesterday's picking?,104
116,Each pot has w flowers in it. There are w flowers in total. How many pots are there in all?,( x / w ),Each pot has 40 flowers in it. There are 400 flowers in total. How many pots are there in all?,10
117,w campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of x campers went rowing that day How many campers went rowing in the afternoon?,( x - w ),15 campers went rowing in the morning. Some more campers went rowing in the afternoon. If a total of 32 campers went rowing that day How many campers went rowing in the afternoon?,17
118,Because of the decision Sofia asked the students to suggest specific types of food. If w students suggested adding mashed potatoes while x suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes?,( x - w ),Because of the decision Sofia asked the students to suggest specific types of food. If 479 students suggested adding mashed potatoes while 489 suggested adding bacon to the menu How many more students suggested bacon than those that suggested mashed potatoes?,10
119,Ed had w more marbles than Doug. Doug lost x of his marbles at the playground. If Ed had y marbles How many marbles did Doug have initially?,( y - w ),Ed had 5 more marbles than Doug. Doug lost 3 of his marbles at the playground. If Ed had 27 marbles How many marbles did Doug have initially?,22
120,Rachel had to complete w pages of math homework. If she had to complete x more pages of math homework than reading homework How many pages of reading homework did she have to complete?,( w - x ),Rachel had to complete 7 pages of math homework. If she had to complete 4 more pages of math homework than reading homework How many pages of reading homework did she have to complete?,3
121,Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked w chocolate chip cookies yesterday and x raisin cookies and y chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?,( ( w + y ) - x ),Helen the hippo and her friends are preparing for thanksgiving at Helen's house. Helen baked 19 chocolate chip cookies yesterday and 231 raisin cookies and 237 chocolate chip cookies this morning. How many more chocolate chip cookies than raisin cakes did Helen bake?,25
122,Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found w more bags worth of cans. If she had a total of x bags altogether How many bags did she have on monday?,( x - w ),Tiffany was collecting cans for recycling. On monday she had some bags of cans. The next day she found 4 more bags worth of cans. If she had a total of 8 bags altogether How many bags did she have on monday?,4
123,Danny collects bottle caps. He found w bottle caps at the park while he threw away x old ones. Now he has y bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,( x - w ),Danny collects bottle caps. He found 30 bottle caps at the park while he threw away 63 old ones. Now he has 42 bottle caps in his collection. How many more bottle caps did danny throw away than those he found at the park?,33
124,Mary is baking a cake. The recipe calls for w cups of sugar and x cups of flour. She already put in y cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,( x - ( w - y ) ),Mary is baking a cake. The recipe calls for 12 cups of sugar and 14 cups of flour. She already put in 10 cups of sugar. How many more cups of flour than cups of sugar does she need to add now?,12
125,Kelly has w nintendo games. How many does she need to buy so that she will have x games left?,( x - w ),Kelly has 22 nintendo games. How many does she need to buy so that she will have 140 games left?,118
126,Mom buys w white t - shirts in total. If white t - shirts can be purchased in packages and mom buys x packages How many white t - shirts does each package have?,( w / x ),Mom buys 70 white t - shirts in total. If white t - shirts can be purchased in packages and mom buys 14 packages How many white t - shirts does each package have?,5
127,A farmer had w tomatoes in his garden. If he picked x of them yesterday and y today. How many will he have left after today?,( ( w - x ) - y ),A farmer had 171 tomatoes in his garden. If he picked 134 of them yesterday and 30 today. How many will he have left after today?,7
